"id","plz","gender","age","income","years_in_job","religion","job_title","education","pol_immigration","pol_environment","pol_redistribution","pol_eu_integration"
1,80331,"female",20,8471.35,3,"Catholicism","Local government officer","trade school",5,4,5,2
2,96176,"female",32,34721.35,4,"None","Structural engineer","high school",3,5,3,4
3,80636,"male",69,724891.17,0,"None","Psychotherapist, dance movement","high school",2,1,2,5
4,85777,"female",63,59490.47,5,"None","Fitness centre manager","high school",2,3,5,1
5,44869,"male",18,52337.39,1,"Islam","Programme researcher, broadcasting/film/video","high school",2,4,3,3
6,80539,"male",61,60960.23,6,"Protestantism","Chief Strategy Officer","high school",2,5,5,4
7,91731,"male",39,61037.2,11,"None","Engineer, communications","high school",2,3,3,2
8,72224,"female",37,58720.93,2,"Buddhism","Secretary/administrator","university",5,5,4,5
9,72348,"male",36,55625.01,1,"Catholicism","Video editor","trade school",1,3,1,3
10,80331,"male",21,75996.23,4,"Catholicism","Hotel manager","high school",1,3,3,5
11,25845,"non-binary",41,29760.83,6,"Catholicism","Herbalist","university",4,4,2,2
12,32832,"female",38,43369.95,9,"None","Teacher, primary school","high school",5,4,2,3
13,90441,"male",33,70224.28,3,"None","Production assistant, television","high school",3,2,3,2
14,80331,"female",43,43707.07,2,"Islam","Surveyor, mining","high school",3,2,5,3
15,97944,"female",70,50073.94,5,"Islam","Data scientist","high school",5,1,2,3
16,94113,"female",33,53897.71,9,"Catholicism","Programmer, applications","high school",4,5,5,5
17,65623,"male",51,47372.98,8,"Catholicism","Horticulturist, commercial","trade school",2,3,4,3
18,39120,"female",69,53557.83,8,"Judaism","Training and development officer","high school",1,2,1,1
19,80636,"male",33,88933.73,4,"Islam","Catering manager","high school",1,2,4,4
20,66589,"female",56,33516.81,2,"None","Textile designer","no degree",3,2,3,1
21,86492,"female",50,60266.05,3,"None","Designer, fashion/clothing","high school",5,3,5,1
22,84524,"female",28,3234.65,11,"None","Medical physicist","high school",4,2,4,4
23,80539,"female",45,18647.76,0,"Protestantism","Seismic interpreter","trade school",1,2,1,3
24,82269,"female",48,53198.8,0,"Catholicism","Biomedical engineer","high school",5,5,4,1
25,99830,"male",58,66750.89,8,"Protestantism","Biomedical engineer","no degree",5,5,3,4
26,22523,"female",43,33275.84,2,"Catholicism","Technical brewer","university",2,2,2,3
27,80333,"male",41,43974.11,0,"Catholicism","Advertising art director","high school",4,2,2,4
28,80636,"female",30,56904.06,2,"None","Clothing/textile technologist","high school",5,1,1,1
29,86759,"female",24,49785.63,2,"Islam","Stage manager","university",2,2,3,2
30,50859,"female",27,65838.27,4,"None","Advertising art director","high school",3,3,5,3
31,79875,"female",46,43510.82,2,"Catholicism","IT consultant","university",3,2,4,1
32,80539,"female",28,35050.43,11,"Protestantism","Secondary school teacher","trade school",1,1,5,2
33,97222,"male",23,45612.6,6,"None","Restaurant manager","university",5,3,5,1
34,6847,"female",24,74064.45,2,"Islam","Politician's assistant","trade school",3,2,3,4
35,50735,"female",18,19700.02,1,"None","Illustrator","high school",4,1,1,5
36,88260,"female",18,35491.71,1,"Protestantism","Community pharmacist","high school",3,3,3,4
37,39444,"female",29,31146.67,3,"Protestantism","Solicitor","doctoral title",1,4,4,5
38,80799,"female",18,58538.33,1,"None","Local government officer","high school",2,1,5,5
39,47249,"non-binary",32,25565.51,10,"None","Osteopath","high school",1,2,1,3
40,94535,"male",55,53781.8,12,"None","Medical illustrator","high school",4,1,5,5
41,72535,"male",33,48621.36,6,"None","Surgeon","trade school",4,2,1,3
42,69437,"female",57,52099.26,1,"None","Financial controller","high school",3,3,3,4
43,44145,"male",22,80544.39,5,"None","Systems analyst","high school",5,2,4,2
44,53773,"male",49,44352.87,0,"None","Sports therapist","high school",2,3,4,5
45,79793,"male",22,36923.45,5,"Catholicism","Sound technician, broadcasting/film/video","doctoral title",2,2,3,5
