"id","plz","gender","age","income","years_in_job","religion","education","pol_immigration","pol_environment","pol_redistribution","pol_eu_integration"
1,80331,"female",20,8471.35,3,"Catholicism","trade school",5,4,5,2
2,96176,"female",32,34721.35,4,"None","high school",3,5,3,4
3,80636,"male",69,724891.17,0,"None","high school",2,1,2,5
4,85777,"female",63,59490.47,5,"None","high school",2,3,5,1
5,44869,"male",18,52337.39,1,"Islam","high school",2,4,3,3
6,80539,"male",61,60960.23,6,"Protestantism","high school",2,5,5,4
7,91731,"male",39,61037.2,11,"None","high school",2,3,3,2
8,72224,"female",37,58720.93,2,"Buddhism","university",5,5,4,5
9,72348,"male",36,55625.01,1,"Catholicism","trade school",1,3,1,3
10,80331,"male",21,75996.23,4,"Catholicism","high school",1,3,3,5
11,25845,"non-binary",41,29760.83,6,"Catholicism","university",4,4,2,2
12,32832,"female",38,43369.95,9,"None","high school",5,4,2,3
13,90441,"male",33,70224.28,3,"None","high school",3,2,3,2
14,80331,"female",43,43707.07,2,"Islam","high school",3,2,5,3
15,97944,"female",70,50073.94,5,"Islam","high school",5,1,2,3
16,94113,"female",33,53897.71,9,"Catholicism","high school",4,5,5,5
17,65623,"male",51,47372.98,8,"Catholicism","trade school",2,3,4,3
18,39120,"female",69,53557.83,8,"Judaism","high school",1,2,1,1
19,80636,"male",33,88933.73,4,"Islam","high school",1,2,4,4
20,66589,"female",56,33516.81,2,"None","no degree",3,2,3,1
21,86492,"female",50,60266.05,3,"None","high school",5,3,5,1
22,84524,"female",28,3234.65,11,"None","high school",4,2,4,4
23,80539,"female",45,18647.76,0,"Protestantism","trade school",1,2,1,3
24,82269,"female",48,53198.8,0,"Catholicism","high school",5,5,4,1
25,99830,"male",58,66750.89,8,"Protestantism","no degree",5,5,3,4
26,22523,"female",43,33275.84,2,"Catholicism","university",2,2,2,3
27,80333,"male",41,43974.11,0,"Catholicism","high school",4,2,2,4
28,80636,"female",30,56904.06,2,"None","high school",5,1,1,1
29,86759,"female",24,49785.63,2,"Islam","university",2,2,3,2
30,50859,"female",27,65838.27,4,"None","high school",3,3,5,3
31,79875,"female",46,43510.82,2,"Catholicism","university",3,2,4,1
32,80539,"female",28,35050.43,11,"Protestantism","trade school",1,1,5,2
33,97222,"male",23,45612.6,6,"None","university",5,3,5,1
34,6847,"female",24,74064.45,2,"Islam","trade school",3,2,3,4
35,50735,"female",18,19700.02,1,"None","high school",4,1,1,5
36,88260,"female",18,35491.71,1,"Protestantism","high school",3,3,3,4
37,39444,"female",29,31146.67,3,"Protestantism","doctoral title",1,4,4,5
38,80799,"female",18,58538.33,1,"None","high school",2,1,5,5
39,47249,"non-binary",32,25565.51,10,"None","high school",1,2,1,3
40,94535,"male",55,53781.8,12,"None","high school",4,1,5,5
41,72535,"male",33,48621.36,6,"None","trade school",4,2,1,3
42,69437,"female",57,52099.26,1,"None","high school",3,3,3,4
43,44145,"male",22,80544.39,5,"None","high school",5,2,4,2
44,53773,"male",49,44352.87,0,"None","high school",2,3,4,5
45,79793,"male",22,36923.45,5,"Catholicism","doctoral title",2,2,3,5
46,80539,"female",66,108934.56,8,"Catholicism","high school",4,5,4,3
47,74388,"male",59,82695.22,6,"None","university",2,1,3,1
48,74906,"male",67,101342.65,16,"Protestantism","high school",3,4,4,2
49,39649,"non-binary",27,43699.08,3,"Protestantism","trade school",5,4,2,3
50,64673,"male",25,55256.89,8,"Catholicism","trade school",4,5,5,2
51,45479,"female",19,57280.41,2,"Protestantism","high school",5,3,1,1
52,97505,"female",48,65257.71,17,"Catholicism","high school",4,1,4,1
53,87730,"male",30,73130.44,5,"Protestantism","high school",3,3,2,3
54,13055,"female",58,77231.91,5,"Islam","high school",3,5,2,5
55,86567,"non-binary",41,902234.42,4,"None","university",5,2,5,2
56,54538,"female",50,49240.52,6,"None","university",5,3,5,2
57,3253,"male",18,49181.85,1,"Protestantism","high school",3,1,1,4
58,52224,"female",46,45667.06,11,"Catholicism","high school",1,5,4,4
59,36391,"male",27,71020.92,3,"Catholicism","high school",1,4,1,4
60,80636,"female",53,17867.79,0,"None","high school",5,2,5,3
61,90613,"male",39,59154.65,7,"None","high school",4,2,3,1
62,76137,"male",18,34867.09,1,"Protestantism","no degree",1,5,4,4
63,31096,"male",61,103880.23,9,"Protestantism","university",4,2,3,2
64,66509,"female",46,6537.27,4,"Islam","high school",5,5,5,2
65,72660,"non-binary",28,53963.61,5,"Protestantism","trade school",5,1,3,5
66,80331,"male",38,53233.39,0,"None","high school",2,2,1,5
